ItemNumber,Giro,Genero,Articulo,Material_o_Especificaciones,Attr_o_Gauge,Medida,MedidaAd,Color,Distribuidora,Empaque,Precio,MinOrder,TermEntrega,TermPago,CodSinDist,CodConDist
444,3,2,Oferta Especial,,,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
703,3,2,Oferta Especial,,,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2380,3,2,Oferta Especial,,,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4017,3,2,Manecilla,MANECILLA UNIVERSAL,,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4249,3,2,Oferta Especial,,,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4918,3,2,Oferta Especial,,,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6254,3,2,Oferta Especial,,,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2481,3,2,Oferta Especial,MESC BIDET LF,860911CP,MEIJIE,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3584,3,11,Niples,NIPLE 3/8,BRASS,5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3595,3,11,Niples,NIPLE 3/8,BRASS,2 1/2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2375,3,2,Oferta Especial,,ROSCA,2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1407,3,2,Oferta Especial,,S/STEEL,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2287,3,11,Abrasaderas,ABRASADERA INCORP,,4 1/2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2544,3,11,Abrasaderas,ABRASADERA MANGA,,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
36,3,11,Abrasaderas,ABRASADERA MANGA,44230,5/8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
52,3,11,Abrasaderas,ABRASADERA MANGA,44231,1,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
35,3,11,Abrasaderas,ABRASADERA MANGA,44231,1/2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
53,3,11,Abrasaderas,ABRASADERA MANGA,44234,5/8-7/8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
37,3,11,Abrasaderas,ABRASADERA MANGA,44235,3/4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
38,3,11,Abrasaderas,ABRASADERA MANGA,44236,11/4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6309,3,11,Abrasaderas,ABRASADERA MANGA (5),44238,1 3/4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6342,3,11,Abrasaderas,ABRASADERA MANGA (5),44239,2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6308,3,11,Abrasaderas,ABRASADERA MANGA (5),AB-16,1 1/2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
